name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Abeokuta, Ogun, Nigeria",2023-01-01,95.6,68.6,80.7,92.7,68.6,80.1,57.1,47.5,0.0,0,0.0,,0,0,14.3,8.1,53.0,1011.7,26.0,3.1,259.7,22.4,9,10,2023-01-01T06:58:44,2023-01-01T18:41:36,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNIB,DNMM,NII0000DNMM,remote,65201099999,65100099999,65208099999"
"Abeokuta, Ogun, Nigeria",2023-01-02,95.0,68.5,80.1,93.5,68.5,79.6,58.3,51.2,0.0,0,0.0,,0,0,18.3,14.0,46.1,1011.5,28.1,3.1,259.1,22.4,9,10,2023-01-02T06:59:09,2023-01-02T18:42:07,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNIB,DNMM,remote,65201099999,65100099999,65208099999"
"Abeokuta, Ogun, Nigeria",2023-01-03,93.2,71.6,80.7,92.8,71.6,80.6,59.3,49.9,0.0,0,0.0,,0,0,15.0,10.8,28.9,1011.8,23.6,1.9,254.9,22.0,9,10,2023-01-03T06:59:34,2023-01-03T18:42:38,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNIB,DNMM,65201099999,65100099999,65208099999"
"Abeokuta, Ogun, Nigeria",2023-01-04,93.8,71.4,81.1,92.6,71.4,80.9,62.3,56.6,0.0,0,0.0,,0,0,16.1,10.5,53.5,1012.0,28.5,1.5,253.0,21.8,9,10,2023-01-04T06:59:58,2023-01-04T18:43:09,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNIB,DNMM,65201099999,65100099999,65208099999"
"Abeokuta, Ogun, Nigeria",2023-01-05,93.2,71.3,81.1,94.2,71.3,81.7,64.5,59.4,0.0,0,0.0,,0,0,15.9,9.2,224.2,1012.2,27.5,1.4,248.0,21.3,9,10,2023-01-05T07:00:21,2023-01-05T18:43:40,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNIB,65213099999,DNMM,65201099999,65100099999,65208099999"
"Abeokuta, Ogun, Nigeria",2023-01-06,91.7,73.0,81.8,98.7,73.0,85.3,70.3,69.1,0.0,0,0.0,,0,0,14.5,10.3,133.1,1012.9,21.1,2.3,231.1,20.0,8,10,2023-01-06T07:00:44,2023-01-06T18:44:10,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNIB,DNMM,remote,65201099999,65100099999,65208099999"
"Abeokuta, Ogun, Nigeria",2023-01-07,96.0,75.2,84.0,102.6,75.2,88.2,72.5,70.9,0.0,0,0.0,,0,0,15.4,10.3,197.9,1012.5,32.1,2.9,249.8,21.6,9,10,2023-01-07T07:01:06,2023-01-07T18:44:41,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNIB,DNMM,remote,65201099999,65100099999,65208099999"
"Abeokuta, Ogun, Nigeria",2023-01-08,95.0,76.8,83.3,102.8,76.8,87.7,74.4,76.8,0.0,0,0.0,,0,0,15.2,8.1,228.4,1012.5,34.7,3.9,249.6,21.6,9,10,2023-01-08T07:01:27,2023-01-08T18:45:11,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNIB,DNMM,remote,65201099999,65100099999,65208099999"
"Abeokuta, Ogun, Nigeria",2023-01-09,97.4,74.9,84.0,101.1,74.9,87.5,72.5,72.2,0.0,0,0.0,,0,0,14.1,7.4,305.2,1012.8,29.9,2.9,258.5,22.3,9,10,2023-01-09T07:01:48,2023-01-09T18:45:41,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNIB,DNMM,65201099999,65100099999,65208099999"
"Abeokuta, Ogun, Nigeria",2023-01-10,95.8,75.0,84.4,97.4,75.0,88.0,72.0,70.1,0.0,0,0.0,,0,0,13.9,11.4,34.8,1013.7,34.0,2.9,263.2,22.8,9,10,2023-01-10T07:02:07,2023-01-10T18:46:10,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNIB,DNMM,65201099999,65100099999,65208099999"
"Abeokuta, Ogun, Nigeria",2023-01-11,95.0,74.9,83.2,100.2,74.9,86.8,72.2,72.0,0.0,0,0.0,,0,0,13.9,11.4,268.3,1013.7,31.9,3.5,265.1,22.9,9,10,2023-01-11T07:02:26,2023-01-11T18:46:39,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNIB,DNMM,65201099999,65100099999,65208099999"
"Abeokuta, Ogun, Nigeria",2023-01-12,95.8,74.7,82.7,98.2,74.7,85.3,72.3,74.7,0.0,0,0.0,,0,0,16.8,13.9,56.7,1011.9,29.8,3.3,261.0,22.5,9,10,2023-01-12T07:02:45,2023-01-12T18:47:08,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNIB,DNMM,remote,65201099999,65100099999,65208099999"
"Abeokuta, Ogun, Nigeria",2023-01-13,93.7,76.6,83.0,97.8,76.6,86.6,72.8,73.7,0.0,0,0.0,,0,0,16.8,8.6,151.9,1011.1,31.7,3.1,259.5,22.3,9,10,2023-01-13T07:03:02,2023-01-13T18:47:37,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNIB,DNMM,65201099999,65100099999,65208099999"
"Abeokuta, Ogun, Nigeria",2023-01-14,95.0,75.2,83.3,101.0,75.2,87.0,73.0,74.5,0.0,0,0.0,,0,0,17.7,6.3,186.0,1012.2,31.9,2.4,252.8,21.7,9,10,2023-01-14T07:03:18,2023-01-14T18:48:05,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNIB,DNMM,65201099999,65100099999,65208099999"
"Abeokuta, Ogun, Nigeria",2023-01-15,92.4,75.3,83.3,99.7,75.3,88.5,73.7,74.4,0.0,0,0.0,,0,0,16.3,7.4,152.6,1011.6,35.9,3.3,217.3,18.8,8,10,2023-01-15T07:03:34,2023-01-15T18:48:32,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNIB,DNMM,65201099999,65100099999,65208099999"
